Model,Best_F1,Best_AUC,Best_Precision,Best_Recall,Best_Parameters,Training_Time,Inference_Time
LOF,0.9895916733386708,0.9906048259567264,0.9962385814078452,0.9830328738069988,"{'n_neighbors': 20, 'contamination': 0.1}",0.0998773574829101,0.1345338821411132
OneClassSVM,0.9882604055496264,0.9904094807538464,0.9946294307196564,0.9819724284199364,"{'nu': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.0770952701568603,0.0570440292358398
EllipticEnvelope,0.988279168886521,0.9913908578445052,0.9930406852248392,0.9835630965005302,"{'support_fraction': 0.8, 'contamination': 0.1}",0.1760599613189697,0.0009999275207519
IsolationForest,0.988279168886521,0.9776841361090955,0.9930406852248392,0.9835630965005302,"{'n_estimators': 100, 'max_samples': 0.8, 'contamination': 0.1}",0.1910638809204101,0.0292692184448242
Autoencoder,0.9903846153846154,0.9906792431768712,0.9978471474703984,0.9830328738069988,"{'epochs': 50, 'latent_dim': 8, 'dropout_rate': 0.0}",3.6933979988098153,0.0040016174316406
