Attack_Type,F1_Mean,F1_Std,Precision,Recall,AUC,Inference_Time,Evasion_Rank
RPM,0.7329,0.32,0.6953,0.7812,0.8633,3.0749,1
Fuzzy,0.7427,0.3268,0.6977,0.8004,0.8718,3.0539,2
Gear,0.7461,0.3293,0.6984,0.807,0.8747,3.7387,3
DoS,0.7461,0.3293,0.6984,0.807,0.8748,3.5844,4
Original Phantom ECU,0.7629,0.3279,0.7314,0.8073,0.8749,7.8127,5
Realistic Phantom ECU,0.8249,0.3188,0.9056,0.8072,0.875,6.8921,6
